idx,Location,X,Y,radius
1,Zam Zamah,880,580,450
2,Punjab Public Library,476,1122,400
3,Tollington Market,1077,1565,600
4,GPO,1540,2661,850
5,Anarkali,1826,741,395
6,Ganga Ram Trust,1909,1469,325
7,High Court,2484,1936,250
8,YMCA,2302,1040,285
9,Ghulam Rasool Building,2850,1124,450
10,Charing Cross,3419,1656,440
11,Freemason's Lodge,3124,2190,225
12,Dyal Singh Mansion,2809,2458,300
13,Punjab Assembly,4358,1396,650
14,Alhamra Arts Council,4075,1898,220
15,Governor House,5471,2125,1100
16,Aitchision College,6357,2871,490
17,NCA,1464,1127,210